profile,occupied_hz,mcs,fec,rf_snr_db,repeats,frames_ok,frame_success,median_gmi_bits_per_symbol,median_evm_rms,nominal_phy_bps,decoded_payload_bps,seed
SEFDM_2K7,2678.671875,3,LDPC-3/4,24.0,2,0,0.0,,0.21627453547869907,9000.0,0.0,704
SEFDM_2K7,2678.671875,3,LDPC-3/4,30.0,2,0,0.0,,0.14096691550696,9000.0,0.0,796
SEFDM_2K7,2678.671875,6,LDPC-3/4,18.0,2,0,0.0,,0.33475973439900797,7500.0,0.0,641
SEFDM_2K7,2678.671875,6,LDPC-3/4,24.0,2,0,0.0,,0.2050829213444309,7500.0,0.0,709
SEFDM_2K7,2678.671875,6,LDPC-3/4,30.0,2,0,0.0,,0.12947646666887486,7500.0,0.0,793
SEFDM_2K7,2678.671875,16,LDPC-3/4,18.0,2,0,0.0,,0.3667500113111798,6000.0,0.0,663
SEFDM_2K7,2678.671875,16,LDPC-3/4,24.0,2,0,0.0,,0.20395694043001195,6000.0,0.0,723
SEFDM_2K7,2678.671875,16,LDPC-3/4,30.0,2,1,0.5,3.9414946580344767,0.12813903257828888,6000.0,1333.3333333333333,783
SEFDM_2K7,2678.671875,17,LDPC-3/4,18.0,2,0,0.0,,0.38182764662341523,9000.0,0.0,662
SEFDM_2K7,2678.671875,17,LDPC-3/4,24.0,2,0,0.0,,0.21945536950876077,9000.0,0.0,722
SEFDM_2K7,2678.671875,17,LDPC-3/4,30.0,2,0,0.0,,0.13113796407045336,9000.0,0.0,782
SEFDM_2K7,2678.671875,20,LDPC-3/4,18.0,2,0,0.0,,0.3673597103548025,8062.5,0.0,659
SEFDM_2K7,2678.671875,20,LDPC-3/4,24.0,2,0,0.0,,0.20529713300173244,8062.5,0.0,727
SEFDM_2K7,2678.671875,20,LDPC-3/4,30.0,2,0,0.0,,0.1403193894562626,8062.5,0.0,779
